类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.5294117647058824,0.5625,0.5454545454545454,16.0,0.5625,0.6626543106086723,0.9781765276430651
artstudio,0.6,0.1875,0.2857142857142857,16.0,0.1875,0.3991793794661696,0.9430164888457808
auditorium,0.6,0.6428571428571429,0.6206896551724138,14.0,0.6428571428571429,0.6204064210643158,0.9848568662702254
bakery,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0,0.7333333333333333,0.7652364202364202,0.9912144702842377
bar,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0,0.6428571428571429,0.6470265472960344,0.9881759092794911
bathroom,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0,0.7857142857142857,0.8388758574389803,0.9933619139814687
bedroom,0.5384615384615384,0.4375,0.4827586206896552,16.0,0.4375,0.5695697569123934,0.9818137730358875
bookstore,0.5263157894736842,0.625,0.5714285714285714,16.0,0.625,0.5415867256775927,0.9890882638215325
bowling,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.9001368423243423,0.9973326867119302
buffet,1.0,0.75,0.8571428571428571,16.0,0.75,0.9297619047619048,0.9983632395732299
casino,0.7058823529411765,0.8,0.75,15.0,0.8,0.8877000777000776,0.9959948320413436
children_room,0.3333333333333333,0.2857142857142857,0.3076923076923077,14.0,0.2857142857142857,0.3148272427137331,0.9732402157377955
church_inside,0.6666666666666666,0.8,0.7272727272727273,15.0,0.8,0.8796291866028707,0.995671834625323
classroom,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0,0.6428571428571429,0.645747397443826,0.9930161803346702
cloister,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9812127976190476,0.9996362754607178
closet,0.9230769230769232,0.8571428571428571,0.8888888888888888,14.0,0.8571428571428571,0.918877551020408,0.9975107177430507
clothingstore,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0,0.5714285714285714,0.6348722583132136,0.9843036924353478
computerroom,0.75,0.8571428571428571,0.8,14.0,0.8571428571428571,0.8134105025409372,0.9925321532291523
concert_hall,0.5,0.6875,0.5789473684210527,16.0,0.6875,0.6347688013154732,0.9895732298739088
corridor,0.75,0.5625,0.6428571428571429,16.0,0.5625,0.8072329979747077,0.9961808923375364
deli,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0,0.3333333333333333,0.4781725460814583,0.9616925064599483
dentaloffice,0.8461538461538461,0.6875,0.7586206896551724,16.0,0.6875,0.818464476344911,0.9919980601357905
dining_room,0.5384615384615384,0.5,0.5185185185185185,14.0,0.5,0.6169518918777392,0.9691605587055732
elevator,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.9797149122807016,0.9996362754607178
fastfood_restaurant,0.4545454545454545,0.7692307692307693,0.5714285714285714,13.0,0.7692307692307693,0.7558005003126953,0.9944948668352923
florist,0.9333333333333332,0.9333333333333332,0.9333333333333332,15.0,0.9333333333333332,0.9888888888888888,0.9998062015503876
gameroom,0.6,0.75,0.6666666666666666,16.0,0.75,0.7964025919080374,0.9851479146459748
garage,0.5714285714285714,0.8571428571428571,0.6857142857142857,14.0,0.8571428571428571,0.860632252070608,0.9947448485686627
greenhouse,1.0,1.0,1.0,16.0,1.0,1.0,1.0
grocerystore,0.4736842105263157,0.5625,0.5142857142857142,16.0,0.5625,0.7744244273564127,0.9935741998060136
gym,0.7692307692307693,0.7142857142857143,0.7407407407407407,14.0,0.7142857142857143,0.8620363498934926,0.9902503111602821
hairsalon,0.375,0.375,0.375,16.0,0.375,0.4405857941720088,0.9602327837051406
hospitalroom,0.7692307692307693,0.625,0.6896551724137931,16.0,0.625,0.7937173723794687,0.9852085354025217
inside_bus,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0,0.8333333333333334,0.8785410841665611,0.9967606090055069
inside_subway,0.875,0.875,0.875,16.0,0.875,0.8515974147978459,0.9979388942774006
jewelleryshop,0.4375,0.4117647058823529,0.4242424242424242,17.0,0.4117647058823529,0.4749197566103844,0.9505996573386637
kindergarden,0.5833333333333334,0.875,0.7,16.0,0.875,0.6488915607418896,0.9958171677982541
kitchen,0.6111111111111112,0.6875,0.6470588235294118,16.0,0.6875,0.7469401188454098,0.984056741028128
laboratorywet,0.5,0.5882352941176471,0.5405405405405406,17.0,0.5882352941176471,0.7031513788296577,0.9888635065676755
laundromat,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9111547075037174,0.9881789524733269
library,0.7333333333333333,0.6875,0.7096774193548387,16.0,0.6875,0.8189615878402643,0.9950897187196897
livingroom,0.7,0.4375,0.5384615384615384,16.0,0.4375,0.6368000076116727,0.9687803103782735
lobby,0.5555555555555556,0.3125,0.4,16.0,0.3125,0.5505463862092739,0.982541222114452
locker_room,0.5714285714285714,0.75,0.6486486486486487,16.0,0.75,0.7165792361860283,0.9871483996120272
mall,0.5294117647058824,0.5625,0.5454545454545454,16.0,0.5625,0.6035178831694177,0.9772065955383122
meeting_room,0.6,0.7058823529411765,0.6486486486486487,17.0,0.7058823529411765,0.8029682063419088,0.9956025128498001
movietheater,0.8333333333333334,0.625,0.7142857142857143,16.0,0.625,0.7442745727576094,0.9889064015518914
museum,0.5384615384615384,0.3888888888888889,0.4516129032258064,18.0,0.3888888888888889,0.500967193623912,0.9170176006910701
nursery,1.0,0.6875,0.8148148148148148,16.0,0.6875,0.9445785984848484,0.9968477206595538
office,0.6470588235294118,0.6875,0.6666666666666666,16.0,0.6875,0.7267389254224247,0.9702958292919496
operating_room,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0,0.6666666666666666,0.7136352908504522,0.9797157622739018
pantry,0.8333333333333334,0.9375,0.8823529411764706,16.0,0.9375,0.9420087064676615,0.9967264791464597
poolinside,0.75,0.9375,0.8333333333333334,16.0,0.9375,0.9790482954545454,0.9995756547041706
prisoncell,0.7777777777777778,0.4375,0.56,16.0,0.4375,0.7093989747260772,0.9885426770126091
restaurant,0.6666666666666666,0.75,0.7058823529411765,16.0,0.75,0.7596907293795132,0.9824199806013579
restaurant_kitchen,0.5714285714285714,0.6666666666666666,0.6153846153846154,18.0,0.6666666666666666,0.7768877611709517,0.9926573804124824
shoeshop,0.4444444444444444,0.2666666666666666,0.3333333333333333,15.0,0.2666666666666666,0.4366675861077387,0.9478036175710594
stairscase,0.7857142857142857,0.6875,0.7333333333333333,16.0,0.6875,0.7311766859183939,0.9779340446168768
studiomusic,0.7368421052631579,0.9333333333333332,0.8235294117647058,15.0,0.9333333333333332,0.960952380952381,0.9992248062015504
subway,0.7857142857142857,0.6875,0.7333333333333333,16.0,0.6875,0.7740340483512753,0.979692046556741
toystore,0.45,0.5294117647058824,0.4864864864864865,17.0,0.5294117647058824,0.6617862684827365,0.989605939463164
trainstation,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0,0.6666666666666666,0.7169575573225736,0.991343669250646
tv_studio,0.4705882352941176,0.5714285714285714,0.5161290322580645,14.0,0.5714285714285714,0.4884237012585539,0.981952703637118
videostore,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0,0.7647058823529411,0.8490944848225299,0.9947458595088521
waitingroom,0.3888888888888889,0.4375,0.4117647058823529,16.0,0.4375,0.4669664260879886,0.9659311348205626
warehouse,0.7,0.4375,0.5384615384615384,16.0,0.4375,0.6398429825983619,0.9717507274490785
winecellar,0.6,0.75,0.6666666666666666,16.0,0.75,0.8333602581334436,0.9957565470417071
macro avg,0.6688563233125638,0.660933200298872,0.6551512032275425,1047.0,0.660933200298872,0.7352173991018738,0.9851647476994972
weighted avg,0.6694476685970516,0.6599808978032474,0.6549824104429034,1047.0,0.6599808978032474,0.7357577331696984,0.9850016559186985
