类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.5714285714285714,0.75,0.6486486486486487,16.0,0.75,0.7422058833085219,0.9786614936954413
artstudio,0.4615384615384615,0.375,0.4137931034482758,16.0,0.375,0.4447003465169609,0.9614451988360815
auditorium,0.4666666666666667,0.5,0.4827586206896552,14.0,0.5,0.5583774676608931,0.9801548886737657
bakery,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0,0.4666666666666667,0.6460365817383361,0.9883720930232558
bar,0.4117647058823529,0.5,0.4516129032258064,14.0,0.5,0.5902131367384942,0.9855483335638224
bathroom,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0,0.8571428571428571,0.8872354446530271,0.9887290831143687
bedroom,0.6363636363636364,0.4375,0.5185185185185185,16.0,0.4375,0.6252865382826042,0.9848448108632396
bookstore,0.6086956521739131,0.875,0.717948717948718,16.0,0.875,0.6697490310840263,0.9827230843840932
bowling,1.0,0.8125,0.896551724137931,16.0,0.8125,1.0,1.0
buffet,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.8125,0.9563210227272728,0.9982419980601358
casino,0.8235294117647058,0.9333333333333332,0.875,15.0,0.9333333333333332,0.911561866317964,0.9952196382428941
children_room,0.5294117647058824,0.6428571428571429,0.5806451612903226,14.0,0.6428571428571429,0.5498110308085221,0.9804314755912046
church_inside,0.8571428571428571,0.8,0.8275862068965517,15.0,0.8,0.9259454625833936,0.9983204134366925
classroom,0.6875,0.7857142857142857,0.7333333333333333,14.0,0.7857142857142857,0.7717306028102298,0.9890056700318074
cloister,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,1.0,1.0
closet,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0,0.7857142857142857,0.8822553263729733,0.9957820495090582
clothingstore,1.0,0.5714285714285714,0.7272727272727273,14.0,0.5714285714285714,0.8094375431331952,0.9937767943576269
computerroom,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0,0.8571428571428571,0.8771046760713451,0.9830590513068731
concert_hall,0.5789473684210527,0.6875,0.6285714285714286,16.0,0.6875,0.5972949793262293,0.9926042677012609
corridor,0.9090909090909092,0.625,0.7407407407407407,16.0,0.625,0.8008821329133828,0.9912099903006789
deli,0.5,0.2666666666666666,0.3478260869565217,15.0,0.2666666666666666,0.4834508643567736,0.9768087855297158
dentaloffice,0.8125,0.8125,0.8125,16.0,0.8125,0.9009818877970716,0.9975145489815713
dining_room,0.6875,0.7857142857142857,0.7333333333333333,14.0,0.7857142857142857,0.7903653247478912,0.9644585811091135
elevator,0.7368421052631579,0.875,0.8,16.0,0.875,0.9475160256410255,0.9983026188166829
fastfood_restaurant,0.4615384615384615,0.9230769230769232,0.6153846153846154,13.0,0.9230769230769232,0.6585242711900537,0.9945692605267074
florist,0.7894736842105263,1.0,0.8823529411764706,15.0,1.0,1.0,1.0
gameroom,1.0,0.75,0.8571428571428571,16.0,0.75,0.8096033278138457,0.9867240543161979
garage,0.6875,0.7857142857142857,0.7333333333333333,14.0,0.7857142857142857,0.9171039486828958,0.9986862121421657
greenhouse,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,1.0,1.0
grocerystore,0.8,0.75,0.7741935483870968,16.0,0.75,0.8287892161030459,0.9941197866149369
gym,1.0,0.7857142857142857,0.88,14.0,0.7857142857142857,0.9502329467767254,0.9986862121421657
hairsalon,0.5454545454545454,0.75,0.631578947368421,16.0,0.75,0.6394574567984765,0.9632032007759457
hospitalroom,0.6470588235294118,0.6875,0.6666666666666666,16.0,0.6875,0.7823588734022474,0.9837536372453928
inside_bus,0.9333333333333332,0.7777777777777778,0.8484848484848485,18.0,0.7777777777777778,0.911285473785474,0.9937371774106468
inside_subway,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,0.8442599934787436,0.9989694471387003
jewelleryshop,0.6153846153846154,0.4705882352941176,0.5333333333333333,17.0,0.4705882352941176,0.6740371380133928,0.9675613934894346
kindergarden,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.7797004505614563,0.9964233753637245
kitchen,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.8125,0.9129220575613304,0.9967264791464597
laboratorywet,0.625,0.5882352941176471,0.6060606060606061,17.0,0.5882352941176471,0.76041878552863,0.9950885208452313
laundromat,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9441907051282052,0.9988482056256062
library,0.8181818181818182,0.5625,0.6666666666666666,16.0,0.5625,0.7916997065434566,0.9951503394762367
livingroom,0.5,0.625,0.5555555555555556,16.0,0.625,0.5568984397063835,0.9802982541222114
lobby,0.6470588235294118,0.6875,0.6666666666666666,16.0,0.6875,0.8111835998323151,0.9859359844810863
locker_room,0.6666666666666666,0.75,0.7058823529411765,16.0,0.75,0.8534583492487904,0.9930286129970902
mall,0.6666666666666666,0.5,0.5714285714285714,16.0,0.5,0.6018826012789897,0.9829049466537343
meeting_room,0.7142857142857143,0.5882352941176471,0.6451612903225806,17.0,0.5882352941176471,0.7851384274075952,0.9928612221587664
movietheater,0.75,0.5625,0.6428571428571429,16.0,0.5625,0.8067438126566415,0.991270611057226
