val_loss,val_accuracy,val_precision,val_recall,val_f1-score
1.1628637313842773,0.6611295681063123,0.7526660056076527,0.6543616119176668,0.6384445174710305
0.6324093341827393,0.8322259136212624,0.8459937894461063,0.8243371593207183,0.8275546201273818
0.665247917175293,0.7724252491694352,0.8263489022966966,0.7844377390280144,0.7773583397913437
0.4732433259487152,0.8421926910299004,0.8481249615515026,0.8424159148395576,0.8431916823685953
0.5603461265563965,0.7890365448504983,0.8231299541923269,0.8078900685862072,0.789030806106998
0.46169808506965637,0.8554817275747508,0.8689479022337636,0.8532333945750012,0.8538535582132135
0.42740851640701294,0.8621262458471761,0.8646776978060038,0.8641543631475115,0.8622811729590261
0.43943682312965393,0.8538205980066446,0.8691473722862324,0.8540648339336052,0.8559143374731958
0.4337996542453766,0.8488372093023255,0.8581454268390224,0.8479837000229081,0.8491618401523761
0.4182877540588379,0.8521594684385382,0.8574157724646462,0.8552271466989438,0.8511879557929969
0.4175010323524475,0.8421926910299004,0.8444647187325239,0.8439765437902291,0.8398705623224775
0.42176416516304016,0.8488372093023255,0.8602847020659627,0.8510823313061305,0.8506879231213645
0.4065442979335785,0.8621262458471761,0.8704536739915378,0.8642664173888011,0.8637794926146152
0.39401528239250183,0.8704318936877077,0.8810025123811892,0.8715082433444264,0.8739155254329376
0.4111481308937073,0.8621262458471761,0.8646893157224264,0.8649260347402437,0.8612547306595748
0.40327364206314087,0.8504983388704319,0.8560059762099591,0.8557839671099499,0.8516727856114916
0.39971232414245605,0.8588039867109635,0.8574332433967476,0.8626606687733201,0.8562260000431376
0.3790895938873291,0.8654485049833887,0.8702966313128093,0.8668336938642629,0.8669091872978932
0.3968896269798279,0.8571428571428571,0.8642793786368269,0.8646306439788225,0.8599037199117383
0.3843230605125427,0.867109634551495,0.8693820598807349,0.8727681999343455,0.8682014202395515
0.3940795958042145,0.8571428571428571,0.863773949777006,0.8628664340800625,0.8591920081347102
0.38674396276474,0.8588039867109635,0.8644137935321138,0.8650893948315719,0.8620817283773071
0.3996458947658539,0.8604651162790697,0.868088812144339,0.8663775549326591,0.8629145052692083
0.3823383152484894,0.867109634551495,0.8685724749803451,0.8706416322656214,0.8675370001826537
0.38911429047584534,0.867109634551495,0.8723826382074229,0.8706371656009163,0.868493299157347
0.3886702358722687,0.8554817275747508,0.8576548333408728,0.8600824966879993,0.855475442878794
0.3840402662754059,0.867109634551495,0.8710945193637272,0.8708141587767606,0.8685612478040455
0.38684728741645813,0.8604651162790697,0.8657306777429897,0.8666552695238768,0.8638995609872538
0.38970494270324707,0.8604651162790697,0.8600854617014584,0.8639597413678224,0.8598687201225578
0.3839455842971802,0.8687707641196013,0.8708889133401226,0.8728105333421842,0.86978016882851
