epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
1,1,2.7872486,0.0,0.0,0.0,0.0
1,2,2.7468734,0.1875,0.02886002886002886,0.11904761904761904,0.045787545787545784
1,3,3.0299046,0.0625,0.004464285714285714,0.07142857142857142,0.008403361344537815
1,4,2.8578897,0.0625,0.004608294930875576,0.07142857142857142,0.008658008658008658
1,5,2.736128,0.125,0.0220249835634451,0.1346153846153846,0.03524648725887116
1,6,2.550554,0.09375,0.029523809523809525,0.10714285714285714,0.039153439153439155
1,7,2.4191594,0.25,0.17777777777777776,0.2833333333333333,0.1988364576599871
1,8,2.4525054,0.1875,0.17765567765567766,0.17857142857142858,0.14285714285714285
1,9,2.2342722,0.28125,0.3,0.25,0.21408948194662478
1,10,2.2902122,0.375,0.19166666666666665,0.30357142857142855,0.225
1,11,2.2071872,0.28125,0.1441326530612245,0.24285714285714285,0.14525355596784167
1,12,2.318857,0.21875,0.08928571428571429,0.19642857142857142,0.1107142857142857
1,13,2.2346902,0.25,0.09833333333333333,0.25,0.13318903318903316
1,14,2.1628368,0.375,0.2202380952380952,0.32142857142857145,0.24246031746031746
1,15,1.9272327,0.5,0.3188888888888889,0.4444444444444444,0.364021164021164
1,16,1.9013346,0.5625,0.5144557823129251,0.5642857142857142,0.4630385487528345
1,17,1.9041392,0.46875,0.32658730158730165,0.4261904761904761,0.32926200783343645
1,18,1.9096998,0.40625,0.30357142857142855,0.4642857142857143,0.35
1,19,1.8477554,0.46875,0.43076923076923074,0.5371794871794872,0.384981684981685
1,20,1.8982162,0.40625,0.3585034013605442,0.38095238095238093,0.3058390022675737
1,21,1.958883,0.375,0.444074074074074,0.38333333333333336,0.35515151515151516
1,22,1.8228412,0.46875,0.49642857142857144,0.5059523809523809,0.4387755102040816
1,23,1.7315336,0.4375,0.30277777777777776,0.3622222222222222,0.28255892255892257
1,24,1.6574899,0.59375,0.5416666666666667,0.4714285714285714,0.4679705215419502
1,25,1.72043,0.40625,0.3968253968253968,0.4452380952380953,0.3470624613481756
1,26,1.6690618,0.5,0.38,0.4333333333333333,0.344949494949495
1,27,1.6355399,0.53125,0.5440476190476191,0.5773809523809524,0.49217687074829936
1,28,1.4256357,0.75,0.6511904761904761,0.6761904761904762,0.6290249433106577
1,29,1.3948634,0.75,0.7928571428571428,0.7321428571428571,0.6964285714285713
1,30,1.4683639,0.71875,0.7226190476190476,0.7023809523809523,0.6896825396825397
1,31,1.4503031,0.59375,0.5551020408163265,0.6428571428571429,0.5716759431045144
1,32,1.4823976,0.5625,0.6051282051282052,0.5705128205128205,0.5222277722277722
1,33,1.4455609,0.59375,0.5790476190476191,0.55,0.5169312169312169
1,34,1.3217691,0.6875,0.65,0.6444444444444444,0.6104761904761905
1,35,1.2268683,0.78125,0.6791666666666667,0.7430555555555555,0.6825396825396824
1,36,1.1857518,0.65625,0.654421768707483,0.5988095238095238,0.5733560090702948
1,37,1.16241,0.71875,0.6845238095238094,0.769047619047619,0.6821428571428572
1,38,1.4452167,0.625,0.5214285714285715,0.6023809523809524,0.5261904761904762
1,39,1.4053818,0.5625,0.5984126984126985,0.5922222222222222,0.5610774410774411
1,40,1.6860416,0.5,0.5901360544217688,0.6285714285714287,0.54421768707483
1,41,1.2024063,0.65625,0.6147619047619047,0.6,0.565945165945166
1,42,1.3542017,0.53125,0.4841269841269842,0.45,0.4126984126984127
1,43,1.2662442,0.6875,0.6964285714285714,0.6845238095238094,0.6255102040816326
1,44,1.2222396,0.71875,0.667948717948718,0.7346153846153847,0.6590354090354089
1,45,1.3035005,0.6875,0.6083333333333334,0.6749999999999999,0.5966931216931216
1,46,1.1719532,0.71875,0.6555555555555556,0.7333333333333333,0.6548148148148148
