epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
1,1,2.7250423,0.03125,0.06666666666666667,0.013333333333333334,0.02222222222222222
1,2,2.5277636,0.15625,0.11555555555555555,0.13,0.0894179894179894
1,3,2.39854,0.34375,0.2229591836734694,0.3095238095238095,0.24818039103753392
1,4,2.2274375,0.34375,0.275,0.3095238095238095,0.2695578231292517
1,5,2.2350366,0.3125,0.24659863945578228,0.40714285714285714,0.26031746031746034
1,6,2.0262039,0.375,0.3519230769230769,0.37307692307692303,0.3175542406311637
1,7,1.9112567,0.4375,0.40654761904761905,0.3952380952380952,0.32936507936507936
1,8,1.8273848,0.40625,0.2783882783882784,0.36538461538461536,0.3
1,9,1.6527025,0.5625,0.5,0.5297619047619048,0.4738095238095239
1,10,1.5020431,0.625,0.5238095238095238,0.5214285714285714,0.4829004329004329
1,11,1.3481039,0.5625,0.455952380952381,0.48214285714285715,0.4325396825396825
1,12,1.4188297,0.65625,0.5533333333333333,0.6611111111111112,0.589057239057239
1,13,1.3715162,0.65625,0.5654761904761905,0.5515873015873015,0.5326530612244899
1,14,1.6587235,0.40625,0.32108843537414966,0.3595238095238095,0.2870748299319728
1,15,1.3172482,0.625,0.49444444444444446,0.4988888888888889,0.4725396825396826
1,16,1.1991502,0.75,0.6307692307692307,0.7564102564102563,0.6694416694416694
1,17,0.940435,0.78125,0.711111111111111,0.711111111111111,0.7003174603174603
1,18,1.2566811,0.59375,0.5288888888888889,0.5944444444444444,0.5211111111111112
1,19,1.0903666,0.65625,0.5785714285714286,0.6011904761904762,0.5481292517006803
1,20,1.1394339,0.625,0.5107142857142857,0.5555555555555556,0.4918518518518519
1,21,0.8224926,0.71875,0.6677655677655677,0.6794871794871795,0.6354090354090354
1,22,0.85428053,0.75,0.7055555555555556,0.6866666666666668,0.6722943722943722
1,23,0.978305,0.65625,0.61,0.6377777777777778,0.5704761904761905
1,24,0.92327,0.75,0.7458333333333332,0.7374999999999999,0.700595238095238
1,25,1.0129622,0.65625,0.680952380952381,0.7476190476190476,0.6697278911564625
