val_loss,val_accuracy,val_precision,val_recall,val_f1-score
0.507492184638977,0.8488372093023255,0.8516503028778001,0.8469087551124658,0.842064658515889
0.43935656547546387,0.8571428571428571,0.8615139176676252,0.8689815028892804,0.8554578230042811
0.3620060980319977,0.8837209302325582,0.8897512981892454,0.8795627028516186,0.8807128387705974
0.3580443859100342,0.8704318936877077,0.8688681774248673,0.8682260344314288,0.8654568429745869
0.34469977021217346,0.8870431893687708,0.8824411088451203,0.8794830978224838,0.878605193206184
0.32594236731529236,0.8920265780730897,0.8872048979303349,0.8931468811564595,0.8887379538992117
0.3353845775127411,0.8903654485049833,0.8872708175463643,0.8914710332374718,0.8869522138152127
0.33184614777565,0.8870431893687708,0.8840600998340736,0.8891864484075797,0.8843016126619639
0.3214944899082184,0.893687707641196,0.8939849390768551,0.8974007103787017,0.8937287961090139
0.324683278799057,0.893687707641196,0.8929995090169214,0.8957587476902275,0.8910733636811372
0.3130061626434326,0.893687707641196,0.8954032796603644,0.8967408311490885,0.8936221006434693
0.31328314542770386,0.8953488372093024,0.8979904123499823,0.8990060760540323,0.8955014498265865
0.31213411688804626,0.8953488372093024,0.89780549450149,0.8991390305380746,0.8952973841651801
0.304855078458786,0.8986710963455149,0.8975266197329428,0.8996843495360329,0.8967868628747709
0.3060838580131531,0.9019933554817275,0.8996970661692072,0.9028594564995871,0.899253178069472
0.3064057528972626,0.9069767441860465,0.9066921912080355,0.9099486803985912,0.9068102337383844
0.30982089042663574,0.8953488372093024,0.8946646246698057,0.8996382080436603,0.8942148748886422
0.3116564452648163,0.8953488372093024,0.897295742886884,0.9019466798984662,0.8961129692571451
0.3095175623893738,0.8887043189368771,0.8863690180867391,0.8933844636744662,0.8864343819414306
0.3069362938404083,0.8953488372093024,0.8946593515830915,0.8998610563140468,0.8950901142024089
0.3060885965824127,0.8970099667774086,0.8961912926368701,0.9011034095088618,0.8962003728146789
0.30460795760154724,0.8986710963455149,0.8968898277095316,0.9016666455559689,0.8972677032917542
0.3055475056171417,0.9003322259136213,0.8985564943761983,0.9032539471432705,0.8989500135260866
0.30790695548057556,0.8986710963455149,0.8975059839840698,0.9021786783260661,0.8977557682450983
0.30616945028305054,0.9003322259136213,0.8985289889516425,0.9032539471432705,0.8989547570673332
0.30666103959083557,0.8986710963455149,0.8975059839840698,0.9021786783260661,0.8977557682450983
0.3057311773300171,0.9003322259136213,0.8985564943761983,0.9032539471432705,0.8989500135260866
0.3058744966983795,0.9003322259136213,0.8985564943761983,0.9032539471432705,0.8989500135260866
0.3054707944393158,0.9003322259136213,0.8985564943761983,0.9032539471432705,0.8989500135260866
0.3047447204589844,0.9003322259136213,0.8985564943761983,0.9032539471432705,0.8989500135260866
