类别,precision,recall,f1-score,support,accuracy,AP,AUC
nursery,0.9375,0.9375,0.9375,16.0,0.9375,0.9963235294117648,0.9999393792434529
office,0.8571428571428571,0.75,0.8,16.0,0.75,0.8496722385049591,0.9726600387972841
operating_room,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0,0.8666666666666667,0.9033667443667444,0.9973514211886304
pantry,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.988250612745098,0.9998181377303589
poolinside,1.0,1.0,1.0,16.0,1.0,1.0,1.0
prisoncell,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.8125,0.95449016563147,0.9990906886517944
restaurant,0.7777777777777778,0.875,0.8235294117647058,16.0,0.875,0.9521998415671016,0.9993331716779825
restaurant_kitchen,0.8181818181818182,1.0,0.9,18.0,1.0,0.9256650837791188,0.9988662131519275
shoeshop,0.9230769230769232,0.8,0.8571428571428571,15.0,0.8,0.9259071484071484,0.9985142118863048
stairscase,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.988250612745098,0.9998181377303589
studiomusic,1.0,1.0,1.0,15.0,1.0,1.0,1.0
subway,0.9375,0.9375,0.9375,16.0,0.9375,0.9677741529304028,0.9994544131910766
toystore,0.9333333333333332,0.8235294117647058,0.875,17.0,0.8235294117647058,0.8572542475995162,0.9948600799543118
trainstation,0.7647058823529411,0.8666666666666667,0.8125,15.0,0.8666666666666667,0.91832526950174,0.9983850129198967
tv_studio,1.0,0.9285714285714286,0.9629629629629628,14.0,0.9285714285714286,0.9999999999999998,1.0
videostore,0.875,0.8235294117647058,0.8484848484848485,17.0,0.8235294117647058,0.9318216941949192,0.9982866933181039
waitingroom,0.8125,0.8125,0.8125,16.0,0.8125,0.8103317001485106,0.997029582929195
warehouse,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9558693910256412,0.9990300678952473
winecellar,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,0.9963235294117648,0.9999393792434529
macro avg,0.8937269278606323,0.8889448067784328,0.8883127468375506,1047.0,0.8889448067784328,0.9412231579347576,0.998011307639719
weighted avg,0.8934572294713388,0.8882521489971347,0.8878234983169475,1047.0,0.8882521489971347,0.9411793022227992,0.9979805944051434
