epoch,batch,train_loss
1,0,0.77251375
1,1,0.58013177
1,2,1.0995566
1,3,0.91559863
1,4,0.5877185
1,5,0.62965226
1,6,0.79218435
1,7,0.78575593
1,8,0.54395306
1,9,0.484844
1,10,0.37606448
1,11,1.384038
1,12,0.64965713
1,13,0.46808153
1,14,0.64692247
1,15,0.5213663
1,16,0.5685013
1,17,1.0713183
1,18,0.5515889
1,19,0.78771925
1,20,0.6041344
1,21,0.58977795
1,22,0.7287375
1,23,0.3605386
1,24,0.7848593
1,25,0.9379628
1,26,0.6144647
1,27,0.68050766
1,28,0.7938228
1,29,0.6307147
1,30,0.5188335
1,31,0.60345876
1,32,0.71368
1,33,0.6253282
1,34,0.5948479
1,35,0.83674026
1,36,0.6168254
1,37,0.28991592
1,38,0.6290438
1,39,0.7229949
1,40,0.6498543
1,41,0.7447187
1,42,0.42870635
1,43,0.6025505
1,44,0.6425137
1,45,0.4051655
1,46,0.6729926
1,47,0.53385866
1,48,0.64933753
1,49,0.6277112
1,50,0.45786148
1,51,0.61576563
1,52,0.5355486
1,53,0.4540708
1,54,0.6577045
1,55,0.73627883
1,56,0.63341916
1,57,0.34367955
1,58,0.9529995
1,59,0.59730446
1,60,0.58800197
1,61,0.50596535
1,62,0.56987035
1,63,0.7817417
1,64,0.707507
1,65,0.56512105
1,66,0.37679046
1,67,0.34642994
1,68,0.3902588
1,69,0.34425443
1,70,0.5876577
1,71,0.77392304
1,72,0.43483576
1,73,0.71464217
1,74,0.33161694
1,75,0.5819638
1,76,0.58799994
1,77,0.4215864
1,78,0.49751472
1,79,0.78248453
1,80,0.40072823
1,81,0.41887712
1,82,0.59968835
1,83,0.47372746
1,84,0.667582
1,85,0.8289294
1,86,0.7427709
1,87,0.52111655
1,88,0.45767915
1,89,0.4981597
1,90,0.57673323
1,91,0.46608004
1,92,0.37613505
1,93,0.6038909
1,94,0.6875284
1,95,0.7356791
1,96,0.36746866
1,97,0.65084505
1,98,0.37243092
1,99,0.7928208
1,100,0.75198865
1,101,0.6296048
1,102,0.51444674
1,103,0.58102673
1,104,0.79627776
1,105,0.3551557
1,106,0.6182009
1,107,0.72254133
1,108,0.47701722
1,109,0.497969
1,110,0.6712906
1,111,0.44144642
1,112,0.5805987
1,113,0.5014906
1,114,0.43473342
1,115,0.2723196
1,116,0.39909202
1,117,0.93620557
1,118,0.68952
1,119,0.40228385
1,120,0.5757993
1,121,0.35682744
1,122,0.5272069
1,123,0.4463964
1,124,0.5019488
1,125,0.54169047
1,126,0.46244225
1,127,0.47250882
1,128,0.62238425
1,129,0.6238508
1,130,0.25978065
1,131,0.46449208
1,132,0.54840064
1,133,0.6438381
1,134,0.70375764
1,135,0.58668274
