epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
1,1,4.3226914,0.0,0.0,0.0,0.0
1,2,4.2682776,0.0,0.0,0.0,0.0
1,3,4.4222183,0.0,0.0,0.0,0.0
1,4,4.2593117,0.0625,0.03235294117647059,0.058823529411764705,0.034759358288770054
1,5,4.1849904,0.0,0.0,0.0,0.0
1,6,3.908558,0.03125,0.004081632653061224,0.02857142857142857,0.007142857142857143
1,7,4.1047993,0.09375,0.04523809523809524,0.07142857142857142,0.05238095238095238
1,8,3.9463298,0.0,0.0,0.0,0.0
1,9,4.3963466,0.0625,0.018518518518518517,0.041666666666666664,0.02546296296296296
1,10,3.7401521,0.15625,0.07675438596491228,0.10526315789473684,0.08421052631578947
1,11,3.6011422,0.21875,0.14583333333333334,0.18055555555555555,0.15000000000000002
1,12,3.5888364,0.15625,0.1272727272727273,0.13636363636363635,0.12121212121212122
1,13,3.6395314,0.09375,0.07352941176470588,0.058823529411764705,0.058823529411764705
1,14,3.0611615,0.25,0.16176470588235295,0.17647058823529413,0.16176470588235295
1,15,3.7246041,0.0625,0.033783783783783786,0.05405405405405406,0.03783783783783783
1,16,3.34327,0.21875,0.10745614035087718,0.17105263157894737,0.12719298245614033
1,17,2.8977175,0.3125,0.20196078431372547,0.2647058823529412,0.21428571428571425
1,18,3.1530852,0.21875,0.13953488372093023,0.1511627906976744,0.13953488372093023
1,19,3.0373564,0.34375,0.17142857142857143,0.2,0.18
1,20,2.8625517,0.25,0.15384615384615385,0.20512820512820512,0.17094017094017094
1,21,2.5426466,0.40625,0.3055555555555555,0.35,0.3188888888888889
1,22,2.4301894,0.46875,0.27619047619047615,0.35714285714285715,0.3028571428571428
1,23,2.687101,0.3125,0.20940170940170938,0.19230769230769232,0.19572649572649573
1,24,2.610428,0.375,0.25,0.3125,0.26041666666666663
1,25,3.0147383,0.28125,0.19696969696969696,0.15151515151515152,0.1606060606060606
1,26,2.8238955,0.21875,0.16666666666666666,0.15789473684210525,0.15350877192982457
1,27,2.574412,0.375,0.25675675675675674,0.2702702702702703,0.25225225225225223
1,28,3.041572,0.125,0.07692307692307693,0.10256410256410256,0.08547008547008546
1,29,2.6889915,0.40625,0.27477477477477474,0.27477477477477474,0.2657657657657657
1,30,2.842911,0.25,0.17129629629629628,0.19444444444444445,0.17314814814814816
1,31,2.2811258,0.5625,0.3870967741935484,0.3817204301075268,0.3709677419354838
1,32,2.4928408,0.3125,0.22058823529411764,0.2647058823529412,0.23039215686274508
1,33,2.1055758,0.375,0.25609756097560976,0.2926829268292683,0.2682926829268293
1,34,2.242862,0.4375,0.3425925925925926,0.375,0.34722222222222215
1,35,2.6108625,0.40625,0.26126126126126126,0.2702702702702703,0.25585585585585585
1,36,2.2610316,0.40625,0.2916666666666667,0.2916666666666667,0.287037037037037
1,37,2.5156634,0.28125,0.19583333333333333,0.175,0.17083333333333334
1,38,2.2827628,0.375,0.2702702702702703,0.21621621621621623,0.23423423423423423
1,39,1.7744077,0.53125,0.4375,0.484375,0.44270833333333326
1,40,2.263229,0.46875,0.32870370370370366,0.32407407407407407,0.31851851851851853
1,41,2.924456,0.3125,0.21621621621621623,0.1936936936936937,0.1927927927927928
1,42,1.7814454,0.5,0.2892156862745098,0.35294117647058826,0.307843137254902
1,43,2.1301363,0.4375,0.2952380952380952,0.34285714285714286,0.29999999999999993
1,44,1.8338861,0.53125,0.3737373737373737,0.3838383838383838,0.36767676767676766
1,45,2.6957746,0.40625,0.3101851851851852,0.2916666666666667,0.29074074074074074
1,46,2.73008,0.3125,0.22857142857142856,0.2,0.20476190476190478
1,47,2.326786,0.34375,0.2647058823529412,0.2549019607843137,0.25392156862745097
1,48,1.8689346,0.40625,0.2972972972972973,0.2702702702702703,0.27927927927927926
1,49,2.568178,0.375,0.2196969696969697,0.24242424242424243,0.2131313131313131
1,50,1.9234785,0.46875,0.35238095238095235,0.37142857142857144,0.34761904761904755
1,51,2.0269763,0.5,0.3333333333333333,0.37142857142857144,0.3466666666666667
1,52,2.6222274,0.28125,0.19736842105263158,0.15789473684210525,0.16228070175438597
1,53,2.1173267,0.40625,0.22727272727272727,0.25757575757575757,0.23131313131313133
1,54,2.6563466,0.28125,0.18055555555555555,0.20833333333333334,0.18518518518518517
1,55,2.0949357,0.4375,0.2791666666666667,0.325,0.29500000000000004
1,56,1.7508596,0.53125,0.36979166666666663,0.4375,0.3802083333333333
1,57,1.8726664,0.5,0.4247311827956989,0.4032258064516129,0.4021505376344086
1,58,2.1337905,0.4375,0.3333333333333333,0.3108108108108108,0.3018018018018018
1,59,1.828393,0.5,0.32142857142857134,0.3273809523809524,0.3166666666666667
1,60,1.9277498,0.5,0.3666666666666667,0.3655913978494623,0.34301075268817205
1,61,1.475056,0.5625,0.4731182795698925,0.46774193548387094,0.4462365591397849
1,62,1.4017075,0.65625,0.586021505376344,0.5806451612903226,0.5634408602150537
1,63,1.6943833,0.46875,0.35135135135135137,0.3783783783783784,0.3513513513513513
1,64,1.6534215,0.5625,0.4838709677419355,0.47849462365591394,0.4709677419354838
1,65,2.1271605,0.375,0.27631578947368424,0.3026315789473684,0.2807017543859649
1,66,1.7166883,0.53125,0.4264705882352941,0.39705882352941174,0.40196078431372545
1,67,1.7768943,0.5625,0.484375,0.5,0.48437499999999994
1,68,1.6691906,0.5625,0.4444444444444444,0.4305555555555556,0.4259259259259259
1,69,1.841861,0.53125,0.3978494623655914,0.39784946236559143,0.37956989247311823
1,70,1.7744025,0.46875,0.34615384615384615,0.34615384615384615,0.3333333333333333
1,71,2.2110605,0.375,0.2523809523809524,0.28095238095238095,0.2542857142857142
1,72,2.128098,0.4375,0.3076923076923077,0.27777777777777773,0.2863247863247863
1,73,1.5095205,0.53125,0.48333333333333334,0.48333333333333334,0.4666666666666666
1,74,1.3729231,0.53125,0.37142857142857144,0.37142857142857144,0.3514285714285714
1,75,1.8719625,0.4375,0.28378378378378377,0.33783783783783783,0.29729729729729726
1,76,1.8240252,0.46875,0.3194444444444444,0.3611111111111111,0.3333333333333333
1,77,2.2094557,0.375,0.22807017543859648,0.23684210526315788,0.22280701754385965
1,78,2.139753,0.34375,0.2175925925925926,0.2638888888888889,0.22685185185185183
1,79,2.1376593,0.4375,0.2863247863247863,0.32051282051282054,0.29401709401709397
1,80,1.8146409,0.5,0.3472222222222222,0.3611111111111111,0.34259259259259256
1,81,2.00585,0.375,0.2571428571428571,0.24285714285714285,0.2428571428571428
1,82,1.9931823,0.5625,0.40196078431372545,0.39705882352941174,0.38627450980392153
1,83,1.6670998,0.5,0.3939393939393939,0.3787878787878788,0.3737373737373737
1,84,2.4063158,0.40625,0.23904761904761906,0.26190476190476186,0.24285714285714285
1,85,1.9135296,0.5625,0.44086021505376344,0.4838709677419355,0.44086021505376344
1,86,1.91833,0.53125,0.35858585858585856,0.42424242424242425,0.3737373737373737
1,87,1.3425722,0.59375,0.5,0.5,0.4901960784313725
1,88,1.5241381,0.71875,0.5967741935483871,0.6129032258064516,0.5967741935483871
1,89,1.6611857,0.59375,0.4074074074074074,0.4305555555555556,0.41574074074074074
1,90,1.8711914,0.3125,0.21323529411764705,0.25,0.21764705882352942
1,91,1.485144,0.625,0.484375,0.515625,0.48437499999999994
1,92,2.1845992,0.46875,0.3434343434343434,0.40404040404040403,0.3535353535353535
1,93,1.9213903,0.625,0.47916666666666663,0.453125,0.453125
1,94,1.6866367,0.53125,0.41911764705882354,0.446078431372549,0.41764705882352937
1,95,1.9921283,0.5,0.3504273504273504,0.34615384615384615,0.34529914529914524
1,96,1.8804476,0.5625,0.43548387096774194,0.3870967741935484,0.3978494623655914
1,97,1.3336569,0.6875,0.48484848484848486,0.5,0.48989898989898983
1,98,1.6557571,0.4375,0.2916666666666667,0.3055555555555556,0.2916666666666667
1,99,2.1065335,0.46875,0.3333333333333333,0.3484848484848485,0.3232323232323232
1,100,1.9131418,0.5625,0.4838709677419355,0.4032258064516129,0.4301075268817204
1,101,1.6679643,0.5,0.4,0.38571428571428573,0.38095238095238093
1,102,1.4624579,0.53125,0.40476190476190477,0.3952380952380952,0.3895238095238095
