类别,precision,recall,f1-score,support,accuracy,AP,AUC
movietheater,0.9230769230769232,0.75,0.8275862068965517,16.0,0.75,0.8884322963681974,0.9959990300678953
museum,0.7,0.3888888888888889,0.5,18.0,0.3888888888888889,0.5650353683932918,0.9172875499406112
nursery,1.0,0.6875,0.8148148148148148,16.0,0.6875,0.9719827586206896,0.9992119301648884
office,0.5,0.5,0.5,16.0,0.5,0.6213696676126358,0.976782250242483
operating_room,0.625,0.6666666666666666,0.6451612903225806,15.0,0.6666666666666666,0.642380798978422,0.9874677002583979
pantry,0.8333333333333334,0.9375,0.8823529411764706,16.0,0.9375,0.9630055147058824,0.9988482056256062
poolinside,0.9375,0.9375,0.9375,16.0,0.9375,0.9963235294117648,0.9999393792434529
prisoncell,0.6666666666666666,0.625,0.6451612903225806,16.0,0.625,0.7619522165231121,0.9884820562560621
restaurant,0.7857142857142857,0.6875,0.7333333333333333,16.0,0.6875,0.8284656378436027,0.9844204655674103
restaurant_kitchen,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0,0.7222222222222222,0.8305965003236049,0.9919555123636756
shoeshop,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0,0.5333333333333333,0.6122749190615717,0.966795865633075
stairscase,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125,0.8844680884202943,0.9981207565470418
studiomusic,0.8125,0.8666666666666667,0.8387096774193549,15.0,0.8666666666666667,0.9602849835586408,0.9992248062015504
subway,0.6153846153846154,0.5,0.5517241379310345,16.0,0.5,0.7065750631084837,0.9910887487875848
toystore,0.5333333333333333,0.4705882352941176,0.5,17.0,0.4705882352941176,0.6104490367148502,0.9727584237578527
trainstation,0.6666666666666666,0.8,0.7272727272727273,15.0,0.8,0.8230149600801774,0.9936692506459949
tv_studio,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0,0.5714285714285714,0.7688968215491324,0.9914949522887567
videostore,0.7777777777777778,0.8235294117647058,0.8,17.0,0.8235294117647058,0.8067166872287799,0.9881210736721874
waitingroom,0.5714285714285714,0.5,0.5333333333333333,16.0,0.5,0.6113066296534039,0.9749030067895248
warehouse,0.6,0.5625,0.5806451612903226,16.0,0.5625,0.7729523822874207,0.9944835111542193
winecellar,0.6842105263157895,0.8125,0.7428571428571429,16.0,0.8125,0.7707777852200259,0.9950897187196895
macro avg,0.7226898100086171,0.7147121803179749,0.7121314824377737,1047.0,0.7147121803179749,0.7769052999841398,0.9881811362720008
weighted avg,0.7230883147331687,0.7134670487106017,0.7117503057994381,1047.0,0.7134670487106017,0.7765144293230154,0.9880752273087797
