类别,precision,recall,f1-score,support,accuracy,AP,AUC
glacier,1.0,0.896551724137931,0.9454545454545454,29.0,0.896551724137931,0.9965862452533466,0.9999362217781368
harbor,0.925925925925926,0.8928571428571429,0.9090909090909092,28.0,0.8928571428571429,0.968606347241867,0.9982836017956165
hiking,0.6774193548387096,0.7,0.6885245901639344,30.0,0.7,0.7788646383335145,0.9962368908081431
island,0.875,0.7,0.7777777777777778,30.0,0.7,0.8889959174640343,0.9969977380217973
lake,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0,0.8214285714285714,0.8874873861282935,0.995356922806091
library,1.0,0.8148148148148148,0.8979591836734694,27.0,0.8148148148148148,0.993167996565187,0.9998859697135559
monument,0.8055555555555556,0.9666666666666668,0.8787878787878788,30.0,0.9666666666666668,0.979014663710066,0.9995681677976558
mountain,0.75,0.7,0.7241379310344828,30.0,0.7,0.824739754029821,0.9937075879086984
museum,0.7,0.7,0.7,30.0,0.7,0.7576799325822492,0.993697306189595
nightclub,0.9666666666666668,0.9666666666666668,0.9666666666666668,30.0,0.9666666666666668,0.9989247311827956,0.9999794365617932
ocean,0.8620689655172413,0.925925925925926,0.8928571428571429,27.0,0.925925925925926,0.96409069325736,0.9992474001094691
opera house,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,0.8148148148148148,0.917207421767272,0.9982439335887612
picnic,0.9333333333333332,0.9655172413793104,0.9491525423728814,29.0,0.9655172413793104,0.9896864948589086,0.9998086653344105
railway,0.75,0.6,0.6666666666666666,30.0,0.6,0.821022640076281,0.9953732264034547
reef,1.0,0.96,0.979591836734694,25.0,0.96,1.0,1.0
river,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0,0.8666666666666667,0.9160521214850392,0.9910343409418054
selfie,0.9032258064516128,0.9333333333333332,0.918032786885246,30.0,0.9333333333333332,0.972712792395086,0.9986839399547605
senior traveler,0.7297297297297297,0.9642857142857144,0.8307692307692308,28.0,0.9642857142857144,0.9535343431631024,0.9991418008978084
shopping mall,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0,0.8333333333333334,0.9331051636491122,0.9976352046062101
skiing,0.9375,1.0,0.967741935483871,30.0,1.0,0.9966641947843282,0.9999383096853793
solo traveler,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0,0.6333333333333333,0.7443755245850996,0.986428130783467
souvenir shop,0.935483870967742,0.9666666666666668,0.9508196721311476,30.0,0.9666666666666668,0.993669734047932,0.9998766193707589
sunbathing,0.92,0.8846153846153846,0.9019607843137256,26.0,0.8846153846153846,0.9829161515741782,0.999715976331361
temple,0.925925925925926,0.8333333333333334,0.8771929824561403,30.0,0.8333333333333334,0.8939362491491557,0.9969977380217973
theater,0.8,0.8275862068965517,0.8135593220338984,29.0,0.8275862068965517,0.9000382957106816,0.9971512394234449
tour group,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0,0.6333333333333333,0.8192363049254069,0.9940366029200083
train,0.6571428571428571,0.7666666666666667,0.7076923076923077,30.0,0.7666666666666667,0.754507773932049,0.9961546370553157
valley,0.7037037037037037,0.6551724137931034,0.6785714285714286,29.0,0.6551724137931034,0.6990040045390175,0.982694842467792
volcano,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,0.995473718593852,0.9999177462471724
waterfall,0.9375,1.0,0.967741935483871,30.0,1.0,0.8990918268187827,0.999383096853794
zoo,0.9285714285714286,0.9629629629629628,0.9454545454545454,27.0,0.9629629629629628,0.9904697497290088,0.9998175515416895
macro avg,0.868202712728087,0.8668767236885809,0.865844395710968,1651.0,0.8668767236885809,0.9256184021131236,0.9976306098551461
weighted avg,0.8677050535164522,0.8661417322834646,0.8652221661372124,1651.0,0.8661417322834645,0.9249284916767893,0.9975979120419916
